Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
8.299994065060681e-05,800.0000000000001,0.9999999999999238,0.0037987487416689413,0.0768200494885122,0.4989167118917362,0.13088271502700943,0.008550935471028524,0.24280679484567355,0.03822404453437115,0.940408615322026,2.2398207253876043e-05,0.0009955859926821123,0.01341044670892451,0.008140487051358712,2.7395737738157343e-07,5.542523310791674e-06,1.3887224296940447e-08,4.463411675271796e-11,1.8160043817802047e-05,0.03699847626139102
8.300219773778694e-05,800.0000000000001,0.9999999999999238,0.0037992690068868484,0.07681020387666113,0.4989265174557662,0.13087711555111547,0.008552685324414198,0.2428102079069119,0.03822400087824416,0.9405322779194887,2.246384642929877e-05,0.0009957366193829452,0.013411571369460588,0.00814317972161495,2.73980313271765e-07,5.542528625465716e-06,1.38889579434596e-08,4.463966874103479e-11,1.822536379214285e-05,0.03687071471729495
8.300445482496704e-05,800.0000000000001,0.9999999999999238,0.00379978866356576,0.07680035697346989,0.498936324964442,0.13087151536647149,0.008554435997962014,0.24281362081604135,0.03822395721804749,0.9406549964801227,2.2529410491544392e-05,0.0009958862518060492,0.013412663845027971,0.00814586332829785,2.7400306608418475e-07,5.542522412413882e-06,1.3890649473634337e-08,4.4645085388893965e-11,1.8290590562640927e-05,0.03674393963291808
8.300671191214716e-05,800.0000000000001,0.9999999999999238,0.003800307701448179,0.07679050879986977,0.4989461344014583,0.13086591449147808,0.00855618747530894,0.24281703357614376,0.03822391355429308,0.9407767844674443,2.2594901023550188e-05,0.0009960349041657473,0.013413724617127422,0.008148537998640059,2.7402563844773964e-07,5.542504847135721e-06,1.389229950556917e-08,4.465036868258722e-11,1.8355725813382086e-05,0.03661813691834994
8.300896899932729e-05,800.0000000000001,0.9999999999999238,0.003800763961924291,0.07678184085843007,0.4989547688005936,0.13086098487242517,0.008557729518917838,0.2428200368623406,0.038223875125368366,0.9408832049847486,2.2652476535592348e-05,0.0009961649263807734,0.013414632302506701,0.008150884555251927,2.7404535608877163e-07,5.542480135143397e-06,1.3893717774748429e-08,4.4654909496100686e-11,1.84129738569162e-05,0.03650821731685569
8.301095535388324e-05,800.0000000000001,0.9999999999999241,0.003801219728522116,0.0767731719630247,0.49896340466983824,0.13085605474501572,0.008559272161658983,0.24282304003752073,0.03822383669441954,0.9409889239107725,2.2709997368593366e-05,0.0009962942097411377,0.013415516118149841,0.008153224371396896,2.7406493770799336e-07,5.542446880379057e-06,1.3895104782612814e-08,4.4659349851721656e-11,1.8470153433192236e-05,0.036399030787555645
8.30129417084392e-05,800.0000000000001,0.9999999999999241,0.0038016749945658248,0.07676450212738979,0.4989720419984513,0.13085112412130406,0.00856081539280881,0.2428260431036992,0.03822379826178121,0.941093949936576,2.276746455715835e-05,0.0009964227634219678,0.013416376375064999,0.008155557529068573,2.740843850016162e-07,5.542405196207401e-06,1.3896460928620757e-08,4.4663691033113806e-11,1.8527265642655524e-05,0.03629056823496281
8.301492806299515e-05,800.0000000000001,0.9999999999999241,0.0038021297534805635,0.07675583136509162,0.49898068077581065,0.13084619301318862,0.008562359201781085,0.24282904606286407,0.038223759827783366,0.9411982916094448,2.282487912324569e-05,0.0009965505964464453,0.013417213379159226,0.008157884108869218,2.741036996375415e-07,5.542355194134754e-06,1.3897786605747318e-08,4.466793430310493e-11,1.8584311572186217e-05,0.036182820714036425
8.30169144175511e-05,800.0000000000001,0.9999999999999237,0.003802583998789987,0.0767471596895314,0.49898932099141086,0.13084126143241612,0.008563903578123465,0.2428320489169765,0.03822372139275161,0.941301957298504,2.2882242068392744e-05,0.000996677717649355,0.013418027430066114,0.008160204189644108,2.7412288324872503e-07,5.542296983388599e-06,1.389908219896618e-08,4.467208089881016e-11,1.8641292286992955e-05,0.03607577946615999
8.301890077210705e-05,800.0000000000001,0.9999999999999238,0.00380303772410297,0.07673848711396715,0.49899796263484636,0.1308363293906018,0.008565448511499367,0.24283505166797484,0.0382236829570076,0.9414049552037677,2.293955437476563e-05,0.0009968041356866364,0.013418818821480414,0.008162517848561791,2.7414193743493864e-07,5.542230671040201e-06,1.3900348085673876e-08,4.467613203299519e-11,1.869820883174665e-05,0.03596943590966437
