z_m,T_K,P_Pa,tau_s,X_CH4,X_O2,X_CO2,X_H2O,X_CO,X_H2,X_OH
0.30333333333333334,1000.0005543480331,101325.00000000009,0.010214996316102608,0.0950567112761647,0.19011381568681304,1.3492872148869844e-12,1.8211044392333563e-07,2.482794848036712e-10,8.493656232421378e-09,2.79333782242956e-11
0.3066666666666667,1000.000576280411,101325.0000000001,0.01032724896607504,0.09505670425143511,0.19011381046172357,1.4054606641266359e-12,1.8695516662294132e-07,2.579350141924492e-10,8.74588358889818e-09,2.8381598872407195e-11
0.31000000000000005,1000.0005987078048,101325.00000000012,0.010439501613494292,0.09505669713505559,0.19011380517118043,1.4633628034163007e-12,1.9187671337749988e-07,2.6786992120805534e-10,9.002859681250761e-09,2.8831620003384962e-11
0.3133333333333334,1000.0006216337352,101325.00000000012,0.010551754258304223,0.09505668992672683,0.19011379981493462,1.5230263871449038e-12,1.9687538064886117e-07,2.7808964206553287e-10,9.264613807606888e-09,2.928337657909523e-11
0.31666666666666676,1000.0006450616643,101325.0000000001,0.01066400690044832,0.09505668262616278,0.19011379439274678,1.5844842201819277e-12,2.0195145367265987e-07,2.8859966369268573e-10,9.531174400081296e-09,2.973680281720561e-11
0.3200000000000001,1000.0006689950243,101325.0000000001,0.010776259539869697,0.09505667523308498,0.1901137889043825,1.6477691876548475e-12,2.0710521027495377e-07,2.9940553149532965e-10,9.802569217399412e-09,3.0191832373254484e-11
0.3233333333333335,1000.0006934371132,101325.00000000015,0.010888512176511114,0.09505666774724339,0.1901137833496282,1.712914093109093e-12,2.1233690639428982e-07,3.1051281944087553e-10,1.00788245986636e-08,3.064839838198862e-11
0.3266666666666668,1000.0007183914944,101325.00000000019,0.011000764810314943,0.09505666016833536,0.1901137777282306,1.7799522921147326e-12,2.1764683313737397e-07,3.2192725285010756e-10,1.0359968429777564e-08,3.110643433261163e-11
0.3300000000000002,1000.000743860904,101325.0000000002,0.011113017441223267,0.09505665249623592,0.1901137720400679,1.848915620241668e-12,2.2303515346527145e-07,3.3365433967942406e-10,1.0646021480685584e-08,3.1565868034927074e-11
0.33333333333333354,1000.0007698487468,101325.00000000022,0.011225270069177801,0.0950566447306724,0.1901137662849083,1.919837401817221e-12,2.2850213327411667e-07,3.4569989820841305e-10,1.0937009732680528e-08,3.202663209962067e-11
0.3366666666666669,1000.0007963581211,101325.00000000023,0.011337522694119927,0.09505663687144013,0.19011376046257014,1.9927503954937912e-12,2.3404798808544957e-07,3.580697045305907e-10,1.1232956167701098e-08,3.248865733410291e-11
0.34000000000000025,1000.0008233920582,101325.00000000026,0.011449775315990703,0.09505662891834846,0.19011375457288146,2.067687292450431e-12,2.3967292146430824e-07,3.7076958012134946e-10,1.1533882822867428e-08,3.295187368067858e-11
0.3433333333333336,1000.0008509535216,101325.00000000026,0.01156202793473087,0.09505662087122076,0.1901137486156807,2.1446806989181436e-12,2.453771249380105e-07,3.8380539095125903e-10,1.1839810781204258e-08,3.341621060631485e-11
0.34666666666666696,1000.0008790454056,101325.00000000028,0.01167428055028086,0.09505661272989449,0.19011374259081604,2.2237631186245923e-12,2.5116077792206857e-07,3.9718304656964406e-10,1.2150760163352777e-08,3.3881597144436696e-11
0.3500000000000003,1000.0009076704869,101325.00000000028,0.011786533162580807,0.0950566044942304,0.19011373649815272,2.304966788317159e-12,2.57024040592537e-07,4.109084737474535e-10,1.2466749708595875e-08,3.4347961670692195e-11
0.35333333333333367,1000.0009368315823,101325.00000000025,0.011898785771570549,0.09505659616407891,0.19011373033754794,2.3883242100609607e-12,2.629670801162156e-07,4.249877115589442e-10,1.2787798301751446e-08,3.4815232649009795e-11
0.356666666666667,1000.0009665312938,101325.0000000002,0.012011038377189647,0.0950565877393268,0.1901137241088855,2.4738673635861672e-12,2.6899003396714634e-07,4.3942677433720753e-10,1.3113922827253825e-08,3.528333835592832e-11
0.3600000000000004,1000.0009967723358,101325.0000000002,0.012123290979377373,0.09505657921986854,0.1901137178120545,2.5616281655184447e-12,2.7509303252494623e-07,4.542317362105857e-10,1.3445139487410495e-08,3.575220622365514e-11
0.36333333333333373,1000.0010275571185,101325.00000000022,0.012235543578072744,0.09505657060561304,0.19011371144695446,2.65163834165219e-12,2.8127619377764914e-07,4.694087098677734e-10,1.3781463490084905e-08,3.6221763700052945e-11
0.3666666666666671,1000.0010588882304,101325.00000000022,0.012347796173214505,0.09505656189648366,0.19011370501349534,2.7439294049790772e-12,2.8753962327987965e-07,4.849638451990585e-10,1.4122909041659798e-08,3.669193803805604e-11
0.37000000000000044,1000.0010907679774,101325.00000000026,0.012460048764741159,0.09505655309241812,0.19011369851159746,2.838532650271184e-12,2.9388341416429626e-07,5.00903328993566e-10,1.4469489352832703e-08,3.716265632089997e-11
0.3733333333333338,1000.0011231986165,101325.00000000028,0.01257230135259097,0.09505654419336863,0.1901136919411915,2.9354791241454976e-12,3.003076470843219e-07,5.172333829940687e-10,1.4821216626203706e-08,3.763384551513637e-11
0.37666666666666715,1000.0011561823718,101325.0000000003,0.01268455393670197,0.09505653519930182,0.1901136853022186,3.0347996116722835e-12,3.0681239021411994e-07,5.339602630040137e-10,1.5178102057255822e-08,3.810543250999943e-11
